"Gender","ESCS","METASUM","HOMEPOS","ICTRES","JOYREAD","PV1READ"
1,-0.4086,1.3443,NA,NA,0.9601,566.63
1,-0.9079,-0.3327,-0.5495,-0.3586,-0.0441,462.08
1,-1.4734,-0.3327,-0.5495,0.3453,-0.1533,488.78
1,0.8209,-1.1713,-0.2419,-0.3586,-0.3675,423.48
1,-0.3814,0.5058,-1.688,-2.7224,0.8127,460.73
1,-0.0879,-1.5905,-0.0765,0.3453,-0.5824,374.38
1,-0.2902,0.5058,0.2843,-0.3586,0.2959,330.21
1,0.297,0.5058,-0.8378,-0.3586,-0.6909,410.37
1,1.1846,0.5058,1.5475,1.2041,1.289,583.31
1,0.0728,1.3443,-0.3986,-0.3586,0.2959,645.59
1,-1.0511,0.0865,-0.5495,-0.3586,-1.2973,387.41
1,-0.1634,0.925,-0.3986,0.3453,-0.4746,394.48
1,0.9266,-0.3327,1.9644,0.3453,0.8127,560.11
2,-0.9079,-2.0098,-0.5495,-0.3586,-0.3675,369.54
2,0.2944,NA,1.9644,1.2041,0.5421,416.84
2,-0.2791,-1.1713,-0.6956,-0.3586,-0.3675,444.74
2,-0.9655,-0.3327,-0.6956,-0.3586,-1.0699,371.87
2,-0.2162,-0.3327,-0.3986,0.3453,-0.4746,503.74
2,0.2684,-0.752,0.0976,-0.3586,-1.8161,435.92
2,-1.0769,-0.752,-0.978,-0.3586,-0.5824,399.84
2,-1.0231,-2.0098,-0.978,-1.1171,-0.2604,348.62
2,-1.2954,0.5058,-1.8389,-1.1171,-0.0441,357.36
2,-0.4077,-0.3327,-0.5495,-0.3586,0.417,560.42
2,-1.4427,0.925,-1.8389,-2.7224,0.0665,387.02
2,-1.531,-0.752,-0.6956,-0.3586,-0.3675,309.58
2,-1.7501,-2.0098,-1.1173,-1.8035,-0.6909,415.48
2,-1.172,-1.1713,-1.688,-2.7224,-0.8022,505.02
1,0.5331,-1.5905,0.7021,-0.3586,-0.3675,404.57
1,0.8455,-2.0098,1.2196,0.3453,0.5421,448.58
1,-0.3536,1.3443,-0.5495,-0.3586,-0.2604,539.06
1,0.506,0.5058,0.0976,0.3453,1.289,617.87
1,0.6658,-0.752,0.0976,0.3453,0.6743,476.78
1,0.2906,0.925,0.2843,0.3453,0.1798,542.32
1,0.3985,-1.1713,-0.2419,-0.3586,2.2383,571.39
1,-0.2677,-0.752,-0.3986,-1.1171,-1.1624,467.96
1,0.16,-0.752,0.2843,0.3453,-0.9169,525.32
1,0.064,NA,-0.6956,-0.3586,0.8127,401.71
2,-0.4144,-1.1713,-0.8378,-0.3586,-2.4469,453.72
2,1.0804,-0.752,1.2196,1.2041,0.8127,626.08
1,-1.4134,NA,NA,NA,0.5421,499.5
2,0.726,NA,-0.5495,0.3453,-0.4746,488.99
2,0.4401,NA,-0.0765,1.2041,-0.2604,508.07
2,0.1623,-2.0098,-0.2419,0.3453,-1.2973,521.22
2,0.9649,-1.5905,0.9439,0.3453,-0.9169,425.58
2,0.1669,-0.3327,-0.6956,0.3453,-1.1624,337.23
2,-0.6703,0.925,-0.5495,-1.1171,-1.4461,488.43
2,-0.4485,-1.1713,-1.9956,-2.7224,-3.2265,517.93
2,1.2389,NA,0.4835,0.3453,-0.8022,525.07
2,-0.7478,-0.3327,-0.0765,1.2041,-1.1624,459.57
2,-0.3902,NA,0.0976,0.3453,-2.4469,584.15
2,-1.0216,0.0865,-0.8378,-0.3586,-0.9169,533.8
2,0.3565,-0.752,-0.5495,0.3453,-2.4469,498.93
2,0.7869,0.5058,0.9439,-0.3586,0.1798,604.91
2,-0.0984,-2.0098,0.0976,0.3453,-1.4461,359.76
2,0.3053,0.0865,-0.0098,-0.3586,0.8127,442.49
2,-0.4454,-2.0098,-1.1173,-0.3586,-2.4469,513.84
2,1.5035,-1.1713,0.2843,0.3453,-1.4461,547.35
2,0.4109,-2.0098,-0.0765,-0.3586,-0.9169,465.9
2,-0.1935,0.925,-0.0765,0.3453,-3.2265,393.35
2,1.5264,-1.1713,1.5475,0.3453,-0.5824,385.49
2,-0.9442,0.0865,-0.9093,-1.1171,-0.3675,354.63
2,0.053,-1.5905,0.2843,-0.3586,0.2959,551.2
2,0.2164,NA,-0.8378,-1.1171,-0.0441,459.17
2,-0.6851,NA,-1.2566,-1.1171,-0.1533,574.21
2,-0.8599,-2.0098,-0.6956,0.3453,-2.4469,399.28
2,-0.7231,-2.0098,-0.5495,-0.3586,-1.6151,451.55
1,0.4109,0.0865,-0.0765,1.2041,1.6882,397.42
1,-1.0775,-0.3327,1.2196,1.2041,2.6632,507.52
1,0.1372,NA,-0.8378,-0.3586,-1.4461,243.62
1,-0.7509,0.5058,-0.5495,0.3453,3.495,489.33
1,-0.5644,0.0865,-0.0765,-0.3586,0.8127,529.29
1,0.0441,-0.3327,-0.0765,-0.3586,0.417,596.34
1,-0.2413,0.925,-0.3986,0.3453,0.417,493.62
1,-0.6858,NA,-1.1173,-0.3586,0.0665,533.02
1,-0.494,-2.0098,-0.7014,-0.3586,-0.1533,405.92
1,-1.0975,-2.0098,-0.6956,-0.3586,-0.3675,354.52
1,-0.3843,NA,-0.6956,-0.3586,0.417,314.48
1,0.1547,-1.5905,-0.3986,0.3453,0.417,430.07
1,-0.0713,-2.0098,0.7021,1.2041,0.5421,435.95
1,-1.8737,NA,-0.978,0.3453,0.2959,459.94
1,0.0952,-1.1713,-0.5495,0.3453,1.4768,502.84
2,-0.4454,1.3443,-1.1173,-0.3586,-0.1533,549.44
2,-1.2325,NA,-0.6124,0.2936,-1.1165,314.47
2,-0.9187,NA,-0.2419,-0.3586,-0.1533,423.09
2,0.0558,NA,-0.445,-0.3586,0.1798,454.68
2,-0.5472,-1.5905,0.0976,0.3453,-0.0441,437.36
2,-0.8604,-2.0098,0.1305,0.3453,-0.2604,376.6
2,-0.9127,-2.0098,-0.093,0.3453,-1.4461,428.62
2,-0.4753,-1.1713,-1.2566,-1.1171,2.2383,513.28
2,-0.1575,-1.1713,0.4835,-1.1171,0.1798,454.6
2,-1.0567,-0.752,-0.8378,-0.3586,-0.4746,476
1,-0.7671,-0.752,-0.6956,-1.1171,1.4768,405.2
1,-0.485,0.5058,0.2166,0.3453,0.9601,478.13
1,-1.3151,0.5058,-1.688,-1.1171,-0.4746,500.69
1,-0.8646,-2.0098,-0.8378,-1.1171,1.4768,339.75
1,-0.2863,0.5058,-0.978,-1.1171,0.417,477.97
1,-1.6688,-1.5905,-0.978,-0.3586,-0.3675,402.5
2,-0.1004,-0.752,-0.8378,-0.3586,-0.2604,416.68
2,-0.1424,-1.5905,-0.5495,0.3453,-0.0441,412.03
