PV1READ,Female,ESCS,METASUM,PERFEED,HOMEPOS,ADAPTIVITY,TEACHINT,ICTRES,JOYREAD,ATTLNACT,COMPETE,WORKMAST,GFOFAIL,SWBP,MASTGOAL,BELONG,SCREADCOMP,SCREADDIFF,PISADIFF
590.33,Male,-0.4811,1.36,1.0179,-0.3235,-0.686,-0.4965,-0.1255,-1.2014,-2.5375,-0.2661,1.0596,-1.8939,0.7301,-0.2151,0.3124,0.8214,-1.1635,-0.2888
394.507,Female,-1.0814,0.21,0.5121,-2.2036,-0.5786,0.1744,-1.7779,0.8628,1.0844,-0.9792,-0.1015,-0.687,0.1869,0.1123,-0.7782,0.1222,-0.0697,0.2705
501.424,Male,-0.1468,-1.34,0.7743,-0.5709,0.4572,0.1744,0.0595,0.0995,-0.6583,-2.345,-0.1015,-0.2006,0.1869,-0.2151,0.3241,0.8214,-1.8876,0.2705
463.757,Male,-0.9971,-1.34,0.9044,-0.5057,0.4572,0.9888,-1.2275,-0.3553,1.0844,1.1811,-0.1015,-1.2319,1.2386,0.5761,0.3151,-0.5485,1.2658,-0.6346
575.47,Male,1.0243,-0.57,-1.6391,0.5023,-0.9246,-0.2934,0.4949,-0.9395,1.0844,2.0054,0.9982,1.0671,-1.566,0.7181,-1.8546,0.1222,-0.524,0.2705
454.268,Male,-0.9357,-0.57,0.7743,-0.5015,0.1915,0.1744,-0.6231,0.638,-0.6583,0.1956,-0.1015,0.1097,-1.566,-0.4347,-0.8548,-0.849,0.8812,0.7192
483.335,Female,-0.6043,0.59,-0.7784,0.029,0.8329,1.3209,0.3092,0.0995,0.4667,-0.6151,-0.6545,-1.1858,0.1869,0.4317,-0.0358,0.1222,-0.524,-1.272
564.002,Female,0.9434,-0.57,-0.3253,0.8352,-0.9282,-0.2934,1.0192,0.4627,1.0844,-0.4112,0.5693,0.3335,-0.5928,0.0006,-1.186,0.1222,-0.0697,-1.272
608.624,Female,-0.1624,1.36,0.2682,-0.4736,0.4572,-1.0346,-0.8694,2.6131,1.0844,0.849,0.5693,1.3423,-1.3186,0.3468,0.0672,1.8839,-1.126,-1.272
287.641,Male,0.4155,-1.72,-0.3253,-0.5785,-1.4494,-1.0615,-0.5901,-2.7114,1.0844,0.1956,-0.1015,-1.8939,-0.5928,-0.855,0.4951,-0.5485,0.5082,-1.272
